parceiro,nome,fantasia,cpfCnpj
726,SOYUS  DIST. DE ART.DE VIDROS E CRISTAIS S/A,SOYUS DIST. DE ART. DE VIDROS E CRISTAIS S/A,03.449.322/0001-00
798,KITSTAR IND. COM.DE BRINQUEDOS LTDA,KITSTAR IND. COM.DE BRINQUEDOS LTDA,60.072.402/0001-23
823,NIG INDUSTRIA DE BRINQUEDOS LTDA,NIG INDUSTRIA DE BRINQUEDOS LTDA,59.274.589/0001-69
875,GLOBO DISTRIBUIDORA,GLOBO DISTRIBUIDORA,00.000.000/0000-00
1110,LIDER IND. COM. DE BRINQUEDOS LTDA,LIDER IND. COM. DE BRINQUEDOS LTDA,59.400.853/0007-59
1479,MIMO IMPORTACAO E EXPORTACAO LTDA,MIMO IMPORTACAO E EXPORTACAO LTDA,05.330.305/0004-28
1523,TOYS PELUCIA IND. E COM. DE BRINQ. LTDA,TOYS PELUCIA IND. E COM. DE BRINQ. LTDA,04.118.595/0001-35
2663,MABRUK IMPORTAÇÃO E COMERCIO LTDA,MABRUK IMPORTAÇÃO E COMERCIO LTDA,62.189.238/0001-64
3237,CENTRO ATACADISTA BARAO LTDA,CENTRO ATACADISTA BARAO LTDA,49.329.873/0002-12
3266,ART VIDRO,ART VIDRO,03.524.591/0001-94
3654,BRASKIT IND. E COM. DE BRINQUEDOS LTDA,BRASKIT IND. E COM. DE BRINQUEDOS LTDA,57.695.009/0001-81
4320,CENTRO ATACADISTA BARÃO LTDA,CENTRO ATACADISTA BARÃO LTDA,49.329.873/0004-84
4340,MOAS IND. E COM. IMP. E EXP. LTDA,MOAS IND. E COM. IMP. E EXP. LTDA,05.388.725/0003-84
4820,NILO TOZZO & CIA LTDA,NILO TOZZO & CIA LTDA,01.956.134/0001-43
4868,BS TOYS BRINQUEDOS SOROCABA,BS TOYS BRINQUEDOS SOROCABA,01.537.246/0001-60
4869,TRAMONTINA SUL S/A,TRAMONTIAN SUL S/A,93.514.180/0001-00
4957,PURO DESIGN IND.E COM. DE ART.PARA PRES.E DEC.LTDA,PURO DESIGN IND.E COM. DE ART.PARA PRES.E DEC.LTDA,12.580.184/0001-95
4959,CERTA PRODUTOS CERAMICOS LTDA,CERTA PRODUTOS CERAMICOS LTDA,00.396.498/0001-53
4960,FLOR ARTE LTDA,FLOR ARTE LTDA,70.064.035/0001-70
4972,"PORCELANA SCHMIDT IND.,COM.,IMP. E EXPORT LTDA","PORCELANA SCHMIDT IND.,COM.,IMP. E EXPORT LTDA",00.844.239/0010-39
4975,MORATORI E BRANDAO LTDA,MORATORI E BRANDAO LTDA,03.084.965/0001-06
4980,SID NYL INDUSTRIA E COMERCIO LTDA,SID NYL INDUSTRIA E COMERCIO LTDA,53.112.595/0001-33
5037,BRINQUEDOS BANDEIRANTES S/A,BRINQUEDOS BANDEIRANTES S/A,61.068.557/0005-82
5048,IMAGINARIUM COMERCIO DE PRESENTES E DECORAÇÕES S/A,IMAGINARIUM COMERCIO DE PRESENTES E DECORAÇÕES S/A,00.399.603/0006-12
5092,MTA INDUSTRIA E COMERCIO DE ARTEFATOS INOX LTDA,MTA INDUSTRIA E COMERCIO DE ARTEFATOS INOX LTDA,85.478.857/0001-74
5099,GRILAZER IND. COM. DE UTIL. DOM. LTDA,GRILAZER IND. COM. DE UTIL. DOM. LTDA,03.011.776/0001-03
5137,ENTRE MARES INDUSTRIA E COM. DE ARTESANATO LTDA,ENTRE MARES INDUSTRIA E COM. DE ARTESANATO LTDA,02.481.362/0001-77
5160,DECORMARTIN IND. E COM. DE VIDROS E CRISTAIS LTDA,DECORMARTIN IND. E COM. DE VIDROS E CRISTAIS LTDA,08.716.076/0001-20
5190,HAPPY DAYS DESIGN IND. DE ARTIGOS DE DEC. LTDA,HAPPY DAYS DESIGN IND. DE ARTIGOS DE DEC. LTDA,05.996.469/0001-46
5213,SUN GUIDER INC. COMERCIO EXTERIOR LTDA,SUN GUIDER INC. COMERCIO EXTERIOR LTDA,00.606.287/0001-06
5217,REVAL ATACADO DE PAPELARIA LTDA,REVAL ATACADO DE PAPELARIA LTDA,52.434.156/0001-84
5242,FENIX MANUFATURA DE BRINQUEDOS E ART. ESP LTDA,FENIX MANUFATURA DE BRINQUEDOS E ART. ESP LTDA,71.953.335/0001-72
5273,INDUSTRIA DE BRINQUEDOS JUNGES LTDA,INDUSTRIA DE BRINQUEDOS JUNGES LTDA,94.326.287/0001-98
5293,DICAN BRINQUEDOS LTDA,DICAN BRINQUEDOS LTDA,05.761.373/0002-80
5550,FULL FIT IND.IMP. E COM. LTDA,FULL FIT IND.IMP. E COM. LTDA,60.963.378/0005-46
5704,METALURGICA GARIBALDI LTDA,METALURGICA GARIBALDI LTDA,01.399.166/0001-95
5740,BOUTIQUE DE AROMAS IND DE COSMETICOS LTDA,BOUTIQUE DE AROMAS IND DE COSMETICOS LTDA,08.876.586/0001-64
5765,CRISTALERIA RUVOLO LTDA,CRISTALERIA RUVOLO LTDA,60.852.977/0001-69
5807,PAULO ARTHUR POLIS ZANCHETT-ME,PAULO ARTHUR POLIS ZANCHETT-ME,14.218.397/0001-05
5932,TRAMONTINA S/A CUTELARIA,TRAMONTINA S/A CUTELARIA,90.050.238/0001-14
5957,DTC TRADING EIRELI,DTC TRADING EIRELI,05.448.850/0001-70
6065,COTIPLAS IMPORTS IND. COM. IMP. E EXP. LTDA,COTIPLAS IMPORTS IND. COM. IMP. E EXP. LTDA,12.230.179/0001-52
6141,BPR BRASIL PRESENTES E ARTIGOS ESPORTIVOS EIRELI,BPR BRASIL PRESENTES E ARTIGOS ESPORTIVOS EIRELI,16.880.967/0001-45
6236,BIASOTTO & CIA LTDA EPP,BIASOTTO & CIA LTDA EPP,04.067.363/0001-03
6309,D&A DECORAÇAO E AMBIENTAÇAOLTDA,D&A DECORAÇAO E AMBIENTAÇAOLTDA,08.749.430/0001-12
6778,5 L TREVISAN IND D PROD. DE MAD. FAB. DE ART E ABA,5 L TREVISAN IND D PROD. DE MAD. FAB. DE ART E ABA,62.928.403/0001-52
7357,WB INDUSTRIA E COMERCIO DE QUADROS LTDA.,WB INDUSTRIA E COMERCIO DE QUADROS LTDA.,09.405.335/0001-64
8236,CRISTAIS NOVA ALIANCA ARTEFATOS DE VIDROS LTDA EPP,CRISTAIS NOVA ALIANCA ARTEFATOS DE VIDROS LTDA EPP,05.925.933/0001-03
8418,MULTILASER INDUSTRIAL S.A,MULTILASER INDUSTRIAL S.A,59.717.553/0006-17
8440,DISMAT INDUSTRIA DE BRINQUEDOS LTDA,DISMAT INDUSTRIA DE BRINQUEDOS LTDA,90.987.595/0001-03
8587,ARMAZEM DO PAPEL INDUSTRIA,ARMAZEM DO PAPEL INDUSTRIA,05.770.191/0001-94
8593,ETILUX INDUSTRIA E COMERCIO LTDA,ETILUX INDUSTRIA E COMERCIO LTDA,50.306.471/0001-09
8752,TOP LINE UD COM IMPORT E EXP LTDA,TOP LINE UD,07.554.218/0001-37
8765,BRINQUEDO.COM COM. E DISTRIBUICAO LTDA,BRINQUEDO.COM COM. E DISTRIBUICAO LTDA,12.103.103/0001-66
8869,MARILIA DE OLIVEIRA UTIL. DOMEST. LTDA ME (cd),MARILIA DE OLIVEIRA UTIL. DOMEST. LTDA ME (cd),08.539.133/0001-42
8873,DISTRIBUIDOR RUBIES BRASIL,DISTRIBUIDOR RUBIES BRASIL,20.432.792/0001-80
8874,GRUPO FUN FACTORY COM FANTASIAS ACES.LTDA,GRUPO FUN FACTORY COM FANTASIAS ACES.LTDA,07.586.810/0001-10
8965,CERAMICA ARTISTICA BURGUINA LTDA,CERAMICA BURGUINA,55.323.703/0001-42
9030,USUAL PLASTIC IND E COM DE ART PLASTICOS LTDA,USUAL PLASTIC IND E COM DE ART PLASTICOS LTDA,04.062.314/0001-70
9971,TODO LIVRO DISTRIBUIDORA LTDA,TODO LIVRO DISTRIBUIDORA LTDA,03.163.884/0001-93
9986,KATHAVENTO IND E COM DE PRESENTES E DECORAÇÕES,KATHAVENTO IND E COM DE PRESENTES E DECORAÇÕES,05.388.153/0001-71
10066,ROSELY AMABILE ME-STELLA BABY,ROSELY AMABILE ME-STELLA BABY,23.621.005/0001-37
10094,TOYNG IMPORTACAO EXPORTACAO E COMERCIO,TOYNG IMPORTACAO EXPORTACAO E COMERCIO,10.858.706/0001-42
10111,MARAL INDUSTRIA E COMERCIO DE BRINQUEDOS LTDA,MARAL INDUSTRIA E COMERCIO DE BRINQUEDOS LTDA,10.469.551/0001-52
10265,FREE COOLERX IND E COM DE ELETRODOMESTICOS EIRELI-,FREE COOLERX IND E COM DE ELETRODOMESTICOS EIRELI-,19.563.275/0001-61
10271,SUPER TOYS IND.COM. ART.PLT.LTDA,SUPER TOYS IND.COM. ART.PLT.LTDA,05.104.958/0001-46
10308,PATRICIA DA SILVA,PATRICIA DA SILVA,10.729.448/0001-02
10542,CAMARGO CENTER IMP. E DIST.,CAMARGO CENTER IMP. E DIST.,02.887.899/0001-31
10556,GUGA PRESENTES EIRELI - EPP,GUGA PRESENTES EIRELI - EPP,18.822.088/0001-92
10764,LIZE ART. E DEC. LTDA,LIZE ART. E DEC. LTDA,00.307.775/0001-04
10916,SDI DISTRIBUIDORA LTDA,SDI DISTRIBUIDORA LTDA,24.826.426/0001-67
11025,WACKY IMPORTAÇAO LTDA,WACKY IMPORTAÇAO LTDA,07.642.769/0001-52
11171,JOSE ROBERTO DOS SANTOS NICOLAU EPP,JOSE ROBERTO DOS SANTOS NICOLAU EPP,06.167.367/0001-80
11491,GALA IBB IND BRASILEIRA DE BRINQUEDOS E EMBALAGENS,GALA IBB IND BRASILEIRA DE BRINQUEDOS E EMBALAGENS,05.861.238/0001-25
11518,JL BRASFOOD CARTOES E PRESENTES EIRELLI,JL BRASFOOD CARTOES E PRESENTES EIRELLI,27.793.444/0001-88
11552,PORCELANA BOT ART EIRELLI - EPP,PORCELANA BOT ART EIRELLI - EPP,18.429.199/0001-33
11923,PUPPE INDUSTRIA E COMERCIO DE BRINQUEDOS LTDA,PUPPE INDUSTRIA E COMERCIO DE BRINQUEDOS LTDA,30.008.343/0001-63
12144,IND E COM DE ART DE ALUM REDAR,IND E COM DE ART DE ALUM REDAR,12.351.050/0001-00
12147,ANGELA C. L. GONÇALVES EPP,ANGELA C. L. GONÇALVES EPP,00.271.511/0001-48
12201,POLIPLAC INDUSTRIA DE PLASTICOS LTDA,POLIPLAC INDUSTRIA DE PLASTICOS LTDA,05.637.176/0001-72
12212,DeA DECORAÇÕES E AMBIENTAÇÃO LTDA,DeA DECORAÇÕES E AMBIENTAÇÃO LTDA,08.749.430/0002-01
12227,GLOBIMPORT COMERCIO E IMPORTAÇÃO LTDA,GLOBIMPORT COMERCIO E IMPORTAÇÃO LTDA,19.376.786/0001-74
12250,POPP STORE COM E IMP,POPP STORE COM E IMP,24.797.042/0001-63
12265,GULE DISTRIBUIDORA LTDA - ME,GULE DISTRIBUIDORA LTDA - ME,27.383.664/0001-33
12425,DUQUINTAL DISTRIBUIDORA DE BEBIDAS LTDA,DUQUINTAL DISTRIBUIDORA DE BEBIDAS LTDA,29.309.344/0001-69
12447,COLISEU PRESENTES LTDA,COLISEU PRESENTES LTDA,19.905.295/0001-73
12748,VELHO PORONGO,VELHO PORONGO,33.456.544/0001-11
12972,REGINA VEZANNI GRILO - ME,REGINA VEZANNI GRILO - ME,01.806.105/0001-03
13235,ARTEFATOS DE MADEIRA STOLF LTDA,ARTEFATOS DE MADEIRA STOLF LTDA,79.906.426/0001-69
13287,TA TE TI IND E COM DE BICICLETAS LTDA,TA TE TI IND E COM DE BICICLETAS LTDA,30.261.120/0001-03
13288,SUNNY BRINQUEDOS IMPO E EXP LTDA,SUNNY BRINQUEDOS IMPO E EXP LTDA,61.727.285/0009-09
13317,JTX COMERCIO DE PRESENTES E ARMARINHOS LTDA,JTX COMERCIO DE PRESENTES E ARMARINHOS LTDA,18.843.773/0001-03
13477,VIEW COSMETICOS EIRELI (ES),VIEW COSMETICOS EIRELI (ES),08.731.205/0002-30
13479,BRINCADEIRA DE CRIANÇA COM DE BRINQUEDOS,BRINCADEIRA DE CRIANÇA COM DE BRINQUEDOS,08.487.920/0001-98
13540,XALINGO S/A - INDUSTRIA E COMERCIO,XALINGO S/A - INDUSTRIA E COMERCIO,95.425.534/0001-76
13563,TURQUESA COM.DE PRES.LTDA - EPP,TURQUESA COM.DE PRES.LTDA - EPP,06.201.144/0002-73
13612,USARE IND. E COMERCIO DE UTILIDADES LTDA - USARE,USARE IND. E COMERCIO DE UTILIDADES LTDA - USARE,07.768.403/0001-24
13704,TERRAMADA IND E COM DE ALUMINIOS LTDA,TERRAMADA IND E COM DE ALUMINIOS LTDA,29.483.496/0001-83
13913,BA LOJA CONCEITO COM DIST DE COSM EIRELI,BA LOJA CONCEITO COM DIST DE COSM EIRELI,32.053.439/0001-79
13917,CENTRO ATACADISTA BARAO LTDA,CENTRO ATACADISTA BARAO LTDA,49.329.873/0005-65
13943,HAPPY DESIGN COM. DE ARTIGOS DE DECORAÇCAO EIRELI,HAPPY DESIGN COM. DE ARTIGOS DE DECORAÇCAO EIRELI,29.165.218/0001-88
13952,BONIATTI E BONIATTI LTDA,BONIATTI E BONIATTI LTDA,11.145.237/0001-87
13961,OLIVEIRA & MONCHELATO LTDA EPP,OLIVEIRA & MONCHELATO LTDA EPP,24.771.689/0001-16
13996,DALLA COSTA &GENTILINI LTDA,DALLA COSTA &GENTILINI LTDA,39.806.309/0001-09
14014,BRINOX METALURGICA SA,BRINOX METALURGICA SA,92.038.108/0003-53
14092,UNIK COMERCIAL IMPORT E EXPORT LTDA,UNIK COMERCIAL IMPORT E EXPORT LTDA,13.994.860/0002-10
14133,BIUTHIER TAVARES DA FONSECA,BIUTHIER TAVARES DA FONSECA,06.277.981/0001-03
14195,ESTRELA DISTR.BRINQS.COM.IMP.EXP.LTDA,ESTRELA DISTR.BRINQS.COM.IMP.EXP.LTDA,61.780.375/0005-30
14350,BBR IMPORTACAO E EXPORTAÇAO LTDA,BBR IMPORTACAO E EXPORTAÇAO LTDA,07.397.294/0001-86
14406,M.A. ROMANINI E CIA LTDA,ABRAPLAC BRASIL,01.549.320/0001-68
14423,BETEL COM. E IND. DE CRISTAIS E UTI. DOM. EIRELI,BETEL COM. E IND. DE CRISTAIS E UTI. DOM. EIRELI,07.625.391/0001-89
14480,IG BETTIOL UTILIDADES DOMESTICAS LTDA,IG BETTIOL UTILIDADES DOMESTICAS LTDA,30.347.583/0001-92
14487,VITOR JUNGES,VITOR JUNGES,40.197.819/0001-05
14495,NBR EQUIPAMENTOS ELETRONICOS EIRELI ME,NBR EQUIPAMENTOS ELETRONICOS EIRELI ME,27.261.340/0001-22
14497,BIEMME DO BRASIL LTDA,BIEMME DO BRASIL LTDA,03.603.850/0001-72
14632,SUNSHINE PRESENTES E DECORAÇÕES LTDA,SUNSHINE PRESENTES E DECORAÇÕES LTDA,42.950.342/0001-12
14656,CANECAS BY GRAZY LTDA,CANECAS BY GRAZY LTDA,27.930.234/0001-94
14698,CARLU MANUFATURA EIRELI,CARLU MANUFATURA EIRELI,02.443.321/0001-96
14871,GG PELOZATTO,GG PELOZATTO,39.525.583/0001-00
14898,FUN COMERCIO DE BRINQUEDOS LTDA,FUN COMERCIO DE BRINQUEDOS LTDA,20.548.209/0001-00
14929,MAPTOY DISTRIBUIDORA DE PRODUTOS LTDA,MAPTOY DISTRIBUIDORA DE PRODUTOS LTDA,17.160.081/0001-90
15091,MERCOTOYS INDUSTRIA DE BRINQUEDOS LTDA,MERCOTOYS INDUSTRIA DE BRINQUEDOS LTDA,86.713.336/0001-17
