item;descricao;barras;referencia;preco;precominimo;quantidadeEstoque;parceiro
18478;HOT WHEELS PISTA MANOBRA COM MOTO;746775322984;BGJ49;163.9;147.51;0;0
18484;TRANSFORMES CORRE E BRILHA;5010994800291;A6492;92.4;83.16;0;0
18485;BABY ALIVE COMER E BRINCAR;5010994722241;A3684;383.9;345.51;0;0
18496;HAND CAR SPIDER MAN;7898125112349;234;108.9;98.01;0;0
18486;BABY ALIVE MINHA PRIMEIRA BABY ALIVE;5010994559373;24783;317.9;286.11;0;0
18487;KIT PING PONG;;225;40.26;36.23;0;0
18498;BATMOVEL CARRO DO BATMAN;746775336011;BHC89;236.5;212.85;0;0
18504;MASCARA HEROIS;;A1828;77.5;69.75;0;4820
18505;SUPER HEROI COM MOTO;5010994791704;A7425;76.89;69.2;0;0
18512;EMULSAO REPARADORA DE PONTAS;7896671601201;;15;13.5;0;0
18509;QUEBRA CABECA BRASIL 108 PÇS;7896200702829;282;23.1;20.79;0;0
18516;PINHEIRO DE TECIDO MEDIO;;277;42.35;38.12;0;0
18523;KIT BORRACHAS;7898458073799;;2.5;2.25;0;0
18518;PAPAI NOEL GRANDE EM PE;;268;350.9;315.81;0;0
18524;PORTA RETRATO CARTA;7898458063028;;32.89;29.6;0;0
18525;PORTA RETRATO FORMATURA;7898458071535;;56.1;50.49;0;5048
18526;PORTA RETRATO I LOVE;7898458093483;;70.4;63.36;0;0
18533;RELOGIO DE PAREDE VINTAGE PLACAS;;RL 14;82.5;74.25;0;5137
18527;CANETA SORVETE CHOCOLATE;7898458070415;;12.1;10.89;0;0
18534;RELOGIO DE PAREDE PLACAS AUTOMOBILE;;RL 20;108.9;98.01;0;5137
18532;PLAY DOH 4 POTES DE MASSA;7898932136200;B5517;47.78;43;0;4820
18539;PORTA LATA/LONG NECK TIMES;7898414221301;63;27.78;25;4;13317
18541;CHOPEIRA 3.5 LITROS;;abr./30;177.7;159.93;0;10265
18544;TORCIDA HIDRO SQUEESE;7898486483577;3302;42.9;38.61;0;0
18552;FRIGIDEIRA Nº 22 TAMPA DE VIDRO;7897186609126;912;75;67.5;0;5092
18566;SPECIAL TUNED;7898300570971;97;38.5;34.65;0;9030
18554;PAELLERA 2 ALÇAS TAMPA DE VIDRO TAM 36;7897186609850;8406;166.67;150;0;5092
18569;TABUA PORTA FRIOS COM 2 CUMBUCAS DE PORCELANA;;L338;88.78;79.9;0;10764
18567;SPIDER SS;7898300571138;113;42.24;38.02;0;0
18570;GRELHA DE INOX ARGENTINA 50 X 40 CM;7898357412293;GR0036;215;193.5;0;5099
18571;TOY STORY SET;27084896565;T3636;427.9;385.11;0;0
18577;JOGO JAPONES BODAS OURO/PRATA;;45;95;85.5;0;134
18586;CANTIL PARA DESTILADO 210 ML;7893220117039;;27.39;24.65;0;0
18589;CARROSEL MUSICAL COM FOTO;7893220130236;17086;105.6;95.04;0;0
18590;CONJUNTO 6 PÇS CRISTAL AGUA 340 ML SOPHIE;8593410914040;57684;138.78;124.9;0;0
18591;JOGO 3 PÇS CRISTAL DECANTER + 2 TAÇAS;8591651999215;57283;140;126;0;0
18605;PANELA DE PRESSAO VERMELHA 4.5 L POLIDA VALENCIA;7891112113701;20570/720;295.79;266.21;0;0
18592;JOGO 18 PÇS TAÇAS DE CRISTAL;7893220144868;;400;360;0;5550
18597;JOGO DE SOBREMESA 12 PÇS VIENA;7898453436209;3620;88.78;79.9;0;8236
18598;FRUTEIRA BERGAMO COM PÉ DE ALUMINIO;7899262428119;2811;103.95;93.56;0;0
18593;JOGO 6 PÇS 650 ML VINHO GASTRO CRISTAL BOHEMIA;8593410662491;56140;220;198;1;0
18607;JOGO PARA SOBREMESA AGUA MARINHA  12 PÇS;7898435823362;336;65.89;59.3;0;0
18594;JOGO 6 PÇS CRISTAL VINHO;8593401691233;57163;230.89;207.8;0;0
18595;JOGO 6 TAÇAS AGUA CRISTAL ANNA 580 ML;;58001;160;144;1;5550
18599;PRATO DE BOLO SQUARE COM PE DE ALUMINIO;7899262425163;2516;103.84;93.46;0;0
18600;JOGO DE TAÇA CERVEJA BRASAO ATELIE 300 ML;7898360970018;7001;75;67.5;0;8236
18601;JOGO DE CHAMPAGNE 5 PÇS;7898435824291;429;129.58;116.62;0;0
18608;JOGO DE COPO CHOPP XADREZ;7898360910168;1016;65.45;58.91;0;0
18614;COFRE EXTINTOR;7898458060263;;38.5;34.65;0;0
18610;JOGO 3 PÇS VINHO;7898435821948;194;54.99;49.49;0;0
18615;XICARAS QUAL SEU TIPO DE CAFE?;7898458071627;;58.08;52.27;0;0
18612;JOGO 3 PÇS PORTUGAL;7898453438425;2268;69.78;62.8;0;8236
18628;DIFUSOR DE AMBIENTE NOVITA 300 ML;7898926393480;1866;79.78;71.8;0;5740
18616;DESPERTADOR REFLEXO;7898458048674;;54.45;49.01;0;0
18618;BOLSA PLASTICA + 2 NECESSAIRE;7898458056891;;50;45;0;0
18619;CARTAO ANIVERSARIO UATT;;22854;8;7.2;0;0
18626;BLOCOS DE ADESIVOS ANOTA AI;21302;21302;19.8;17.82;0;0
18621;TRIO DE CAIXA TRANSPARENTE;7898458073874;;56.76;51.08;0;0
18629;DIFUSOR DE AROMAS MAÇA COM CANELA 350 ML;7898559310748;2506;75;67.5;3;5740
18655;BARBIE PENTEADOS DE ARCO IRIS;;FXN96;169.78;152.8;0;5217
18630;PERFUME PARA ROUPAS NOVITA 500 ML;;1868;41.36;37.22;0;0
18631;MINI KIT NOVITA DIFUSOR + SABONETE LIQUIDO;;3149;38.5;34.65;0;0
18633;DIFUSOR DE AMBIENTE STICK LEAF FRUTAS VERMELHAS E VANILLA;7898559310755;2505;67.78;61;2;5740
18634;REFIL PARA PERFUME DE AMBIENTE LICHIA E FLORES DO CAMPO 500 ML;;6405;44;39.6;3;13913
18635;DIFUSOR DE AROMAS FLOWERS 350 ML;7898559310670;2380;55;49.5;0;5740
18636;DIFUSOR ALL DAY ORQUIDEA 150 ML;;3350;33;29.7;0;0
18640;MINI KIT FLOWERS DIFUSOR + SABONETE;7898559310977;2783;43;38.7;0;5740
18641;KIT GRANDE FLOWERS DIFUSOR + SABONETE;7898926392339;2618;108.78;97.9;0;5740
18642;KIT SABONETE FLOWER + SACHE + TOALHA;;2981;98.66;88.79;0;0
18644;KIT COM DIFUSOR + SABONETE FRUTAS VERMELHAS;;2623;82.5;74.25;0;5740
18656;BARBIE BALADA;746775289720;BCN36;117.7;105.93;0;3237
18645;DIFUSOR DE AROMAS STICK BEBE;7898926392759;438;50;45;0;5740
18670;ROLO PARA MASSA EM SILICONE;7899525622858;2285;64.9;58.41;0;0
18657;BARBIE QUERO SER VETERINARIA;746775306298;BFR01;140.8;126.72;0;4320
18668;BARBIE FADA ROSA;746775180256;W9449;62.59;56.33;0;0
18669;CONCHA SEREIA MAGICA;7898486484079;3351;32.89;29.6;0;5957
18659;KIT BARBIE COLAR E BRACELETE;7839181048005;1048;35;31.5;0;3237
18672;GARRAFA DE VIDRO PARA LEITE;7893220133145;17634;27.78;25;0;5550
18662;CAIXA ORGANIZADORA HOT WHEELS GRANDE;7896744870909;HW7090;40.37;36.33;0;0
18673;ESPATULA DE SILICONE;7893220155741;16157;9.79;8.81;0;0
18663;CAIXA REGISTRADORA CASINHA FLOR;7896640404925;492.1;138.89;125;0;172
18674;LUVA DE SILICONE  VERMELHA CURTA;7896502804290;535;35.2;31.68;0;194
18665;KIT MIÇANGA ESTOJO FLOR DA BARBIE;7839181827280;1898;17.59;15.83;0;0
18666;MIÇANGAS DA BARBIE;7839180081423;1827;16.49;14.84;0;0
18676;JOGO PARA CHURRASCO 4 PÇS;7893220133695;16480;77.78;70;0;5550
18677;AVENTAL CHA COMIGO;7898498033616;;48.78;43.9;0;0
18679;MORINGA DE PORCELANA TURQUESA;7893220209000;21707;65;58.5;0;5550
18680;CANECA COM INFUSOR BONSAI PARA CHA;7893220151255;17652;40;36;0;5550
18681;JOGO PARA CHA BULE;7893220142109;17172;48.4;43.56;0;0
18682;LATA PORTA CHA;7893220174582;18909;27.49;24.74;0;5550
18683;CONJUNTO PARA CHURRASCO 4 PÇS MALETA ALUMINIO;7893220143564;17322;189.2;170.28;0;0
18684;BOWL FIBRA DE BAMBU UNITARIO;7893220149689;17796;9.68;8.71;0;0
18688;JOGO 6 PÇS CRISTAL VINHO BRANCO 250 ML VERMELHO ANGELA;;55708;221.1;198.99;0;0
18689;PETISQUEIRA FLOR EM FIBRA DE BAMBUU;;17530;31.46;28.31;0;0
18719;ORQUIDEA CATTLEYA BRANCA;7893979871985;10194-002;42.9;38.61;0;0
18720;VASO DE METAL CORUJA 20 CM;7893979352040;25981-002;41.25;37.13;0;0
18721;ORQUIDEA BRANCA 1.15 M COM CACHEPO;7893979284068;18600-001;145.2;130.68;0;0
18707;KIT PARA VINHO TAÇA;;AC12534;53.6;48.24;0;1479
18708;JOGO DE BANHEIRO 4 PÇS QUADRADO PORCELANA;7893220140785;16687;57.2;51.48;0;0
18724;RINOCERONTE DE ATIVIDADES;27084941890;T9238;117.7;105.93;0;0
18725;MOTO HOT WHEELS;746775057725;W5437;97.46;87.71;0;0
18710;PETISQUEIRA DE MADEIRA COM 1 CUMBUCA;7895411491430;906;87;78.3;0;0
18731;CARRO AVULSO LIGHT SPEEDERS;746775051204;;21.89;19.7;0;0
18737;ABAJUR ARVORE DE LUZ BAIXA;7898458048780;;199.9;179.91;0;0
18727;TELEFONE CARINHA DIVERTIDA;75380778160;71874;68.2;61.38;0;0
18732;PORTA ESMALTES EU AMO;7898458075953;;102.3;92.07;0;0
18729;TECLADO  DA BARBIE;;F00046;250;225;0;13917
18738;IMA DE GELADEIRA SANDUBÃO;7898458063899;;36.19;32.57;0;0
18730;UNO STACKO;74299435355;43535;110;99;0;0
18745;SQUEEZE SUPER NAMORADO INOX 600 ML;7899061054755;4240;22;19.8;0;5807
18762;RACING COM FRICÇÃO;7898125117023;702;29.78;26.8;0;1110
18752;DETETIVE VELHO OESTE;7896027553697;;93;83.7;0;0
18758;QUEBRA CABEÇA GIGANTE DISNEY;7908010131178;3117;70;63;0;10916
18760;TAPETE EM EVA NUMEROS 10 PÇS;7896200708005;800;94.49;85.04;0;0
18766;COFRINHO PORCO ESTILIZADO;7896965201018;101;27.78;25;0;170
18767;DIARIO SECRETO MONSTER HIGH;4893825023196;MHDM1;171.05;153.95;0;0
18773;PICTIONARY JUNIOR;746775312701;BFP11;109.45;98.51;0;0
18775;LIXEIRA 12 LITROS COM PEDAL;7897753697815;JXWS 12L;123.2;110.88;0;0
18777;LIXEIRA 3 LITROS INOX COM PEDAL TAMPA VERMELHA;;LIX2317-VM;65;58.5;0;5213
18778;BANDEJA DE VIME RETANGULAR AFRICA MEDIA;;YK9127;80;72;0;1479
18779;PORTA GUARDA CHUVA EM INOX;7896502854110;3011/202;188.78;169.9;0;194
18782;CONJUNTO PARA VINHO 3 PÇS EM INOX;7893220106996;14671;30.69;27.62;0;0
18785;PAINEL DE VIDRO 4 FOTOS;7898458086508;;76.45;68.81;0;0
18792;BABYPAD;7896448183008;830;79.2;71.28;0;159
18809;SUPORTE PARA OLEO;7897386748724;;14;12.6;0;76
18793;FLORA;7896448175003;750;53.9;48.51;0;159
18795;GILOFONE;7896448183404;834;59.73;53.76;0;0
18802;ALMOFADA MASSAGEADORA DUPLA ABRAÇO PRETA;7898458064568;;152.9;137.61;0;0
18803;PEPPA;7896639683508;8350;125;112.5;0;13
18804;MINIE MOUSE;7896639664545;6454;108.9;98.01;0;0
18805;PEIXONAUTA;7896639672106;7210;130.9;117.81;0;0
18806;RITA;7896639681016;8101;81.4;73.26;0;0
18810;RECHAUD RETANGULAR EM PORCELANA 49 CM;7893220170133;18706;471.9;424.71;0;0
18808;TRICICLO ALUMINIO DORA;;1401;222.2;199.98;0;0
18816;IMAGINEXT BATCAVERNA;746775165246;X7677;353.1;317.79;0;0
18812;JOGO DE 4 BOWLS EMPILHAVEL FLORAL;7893220152702;17856;61.49;55.34;0;0
18817;IMAGINEXT BATVEICULOS BATMAN;27084595659;M5649;159.78;143.8;0;3237
18814;JOGO DE 4 XICARAS DE CAFE EMPILHAVEL;7893220152726;17858;66.44;59.8;0;0
18818;MARTELA LEAOZINHO;27084778151;P8792;153.99;138.59;0;4320
18819;LAMPARINA APRENDER E BRINCAR;746775063207;W6090;165;148.5;0;3237
18823;SHOW DE BOLHAS;7898125117184;718;42.46;38.21;0;0
18824;LANÇA DISCO BEN 10;7898125117474;747;55;49.5;0;1110
18825;MOTO RACER COM FRICÇÃO;7898125117030;703;58.78;52.9;0;1110
18828;IMAGINEXT DRAGAO LARANJA;746775092023;W9554;252.89;227.6;0;0
18826;CAIXA REGISTRADORA;7898125117238;723;170;153;0;1110
18827;BRINCANDO DE CASINHA;7898125119003;900;21.89;19.7;0;1110
18835;COLEÇÃO BICHINHOS;7896965201308;130;22;19.8;0;0
18837;TRATOR ARADO ROMA;7896965203616;361;87.78;79;0;170
18842;PISTOLA DE AGUA HOT WHEELS;4893825015153;7309-5;50.6;45.54;0;0
18855;HIPER COBRA D AGUA;7898486471925;2143;15.29;13.76;0;0
18856;MOTO MOTORIZADA SOM E LUZ;7898486480279;2978;83.6;75.24;0;0
18869;PANTUFA AMOR DE MAE;;4765;49.75;44.77;0;0
18876;TAÇA BRANCO MEDIO;7897900835114;3511;85;76.5;0;0
18879;COFRE ENCHE A BOLA;7898458090376;;64.9;58.41;0;0
18883;PETISQUEIRA 5 PÇ BAMBOO;7893220134296;16532;58.85;52.97;0;0
18889;LATA EM METAL PEQUENA;7893220182198;20373;17.78;16;0;0
18896;CAIXA REGISTRADORA DA BARBIE;4893825019748;72749;300;270;0;3237
18908;RELOGIO LANÇA DISCOS HOT WHEELS;4897031032812;BBRJ125;27.7;24.93;0;0
18911;TAÇA DE SOBREMESA PAULISTA 220 ML;7891155004530;30443;12.22;11;-4;218
18923;PANELA STRFLON Nº 18 TAMPA DE VIDRO;;892;45.1;40.59;0;0
18916;GARRAFA 4 WOOD;7897900829045;2904;93.5;84.15;0;102
18924;CALDEIRÃO STARFLON Nº 20 TAMPA DE VIDRO;;8867;70.4;63.36;0;0
18926;CALDEIRAO 20 CM ALLEGRA;7891116061480;62655/200;150;135;0;87
18928;FRIGIDEIRA FRANCESA STARFLON Nº 22;7897186609270;927;23.89;21.5;0;5092
18941;NERF RAMPAGE 25 DARDOS;5010994654894;714;236.5;212.85;0;0
18930;CHURRASQUEIRA STARFLON COM GRELHA;7897186609317;931;127.6;114.84;0;0
18934;COLHER DE SORVETE INOX;7893220075353;;13.09;11.78;0;0
18937;BABY ALIVE RISADINHA;5010994790639;A5977;155;139.5;0;4820
18938;BABY ALIVE MACHUCADINHO;5010994757496;A5390;210;189;0;4820
18945;JOGO PARA  REFRESCO 7 PÇS HURRICANE;7893220226304;23147;160;144;0;5550
18950;LUZ MAGICA;7898486475848;2535;10.99;9.89;0;0
18947;CONJUNTO PARA CHURRASCO 7 PÇS;7899262414556;1455;100.65;90.59;0;0
18948;CONJUNTO PARA CHURRASCO 8 PÇS;7899262414563;1456;113.3;101.97;0;8236
18952;COLETOR DO COLECIONADOR;7898486483317;3276;69.96;62.96;0;0
18954;ZHU ZHU PETS + CARTAO;7898486476043;2555;5.49;4.94;0;0
18955;ESMAGA ZUMBI;7898486481603;3108;10.89;9.8;0;0
18956;PATINETE DTC SEM PERSONAGENS;7898486477460;3889;150;135;0;5957
18964;BONECO BATMAN ARTICULADO 40 CM;7899091480906;8090;174.9;157.41;0;0
18966;QI;7896027541182;;120;108;0;655
18967;BOCA RICA;7896027542707;;80.3;72.27;0;0
18972;IRON TRUCK;7896497501266;MK 126;35.2;31.68;0;0
18973;TREM KIDS BLOCKS;7896497501488;MK148;30.69;27.62;0;0
18976;POLLY COMODOS COLA E DESCOLA;746775104573;X0888;63.8;57.42;0;0
18977;POLLY HELICOPTERO;;GKL59;125;112.5;0;5217
18978;AMIGUINHOS DA SELVA DINO;7898179821983;870;129.9;116.91;0;38
18979;AMIGUINHOS DA SELVA HIPO;7898179821976;871;127.78;115;0;38
18993;BARBIE SEREIA TROCA CAUDA;746775177324;GJK07;127.78;115;0;5217
18985;FORÇA;7898300571503;150;28.9;26.01;0;9030
18980;KIT DE FERRAMENTAS COMPLETO;7898179820917;457;85;76.5;0;13287
18996;BANCO IMOBILIARIO JUNIOR;7896027532104;;120;108;0;0
18981;PUZZLE MANIA;7898179821815;811;65;58.5;0;38
18994;BARBIE ENFERMEIRA;746775305994;BDT23;82.5;74.25;0;0
18987;BOMBEIRO 193;7898300571497;149;85;76.5;0;9030
18998;VIRA LETRAS;7896027536386;;75;67.5;6;655
18999;SUPER MASSA CUP CAKE;7896027543995;;73;65.7;0;655
19004;ESCOVA DENTINHO;7896964618589;1858;117.7;105.93;0;0
19000;GIRATRON;7896027542714;;100.1;90.09;0;0
19001;XERETA;7896027531138;;82.5;74.25;0;0
19005;DOLLS RISADINHA;7896964617476;1747;94.49;85.04;0;0
19003;WAGON PASSEIO DORA;;1702;150;135;0;13
19009;DOLLS ACHOU NENEM;7896964618381;1838;117.7;105.93;0;0
19011;HORA DA RISADA;7896964619944;1994;117.7;105.93;0;6065
19012;MINI BONECAS NEWBORN;7896964618350;1688;33;29.7;0;149
19014;PLAY WATER MENINA;7896964618909;1890;55;49.5;0;149
19015;DOLLS MINI BONECAS AVULSO DISPLAY;7896964618374;1837;32.89;29.6;0;149
19016;BABY ALIVE PRIMEIROS DENTINHOS;;28491;218.9;197.01;0;0
19046;TRIO DE ESFERA COM BASE E FLOR;7893979357274;26101;46.5;41.85;0;0
19017;BABY ALIVE HORA DE COMER;5010994802240;A7022;410;369;0;4820
19020;PLAY DOH FABRICA DE PICOLE;5010994612894;37396;152.9;137.61;0;0
19021;PLAY DOH TURBILHAO DE DOCES;653569752820;39640;149.59;134.63;0;0
19023;FRALDA BABY ALIVE KIT COM 6;630509561704;C2723;55;49.5;0;4820
19025;SENHOR CABEÇA DE BATATA PLAY DOH;;33252;115;103.5;1;4820
19026;BABY ALIVE MEUS PRIMEIROS DENTINHOS;5010994669225;28385;209;188.1;0;0
19027;NERF STRYFE SEMIAUTOMATICO;5010994655037;A0711;174.9;157.41;0;0
19029;ALMOFADA MASSAGEADORA PARA PES;7898458077599;;145.2;130.68;0;0
19031;ABRIDOR ABRE MAIS UMA;7898458055603;;29.89;26.9;0;5048
19032;IMA DE GELADEIRA ANOTA AI;7898458067620;;24.2;21.78;0;0
19033;CANECA COM TAMPA DE FORMATURA;7898458087871;;40.7;36.63;0;0
19048;PLAY DOH CARRINHO DE DOCES;5010994708313;A2106;70.4;63.36;0;0
19034;CANECA TANQUE CHEIO;7898458058147;;18.15;16.34;0;0
19036;CANECA KAT;7898458065886;;27.72;24.95;0;0
19037;KIT LEMBRETE;7898458064421;;10.99;9.89;0;0
19039;FONE DE OUVIDO PASSAFIO UATT;7898458063110;;31.9;28.71;0;0
19041;KIT CAPA DE CHAVE;7898458070439;;30.8;27.72;0;0
19042;MORDEDOR GALINHA PINTADINHA;7896054018282;1828;15.29;13.76;0;0
19045;ALMOFADA DE PESCOÇO REVERSIVEL PANDA;7898458088540;;103.4;93.06;0;0
19051;BALANÇO SAPO;7896640493547;935.4;238.78;214.9;0;172
19054;MUSTANG;7896965218009;1800;40;36;0;0
19067;GINASIO MUSICAL AMIGOS DA FLORESTA;746775358433;BJL04;317.9;286.11;0;0
19055;BOMBEIRO VOYAGER;7896965213516;1351;43;38.7;0;170
19056;BARBIE BUTTERFLY CASAL;746775274597;BBV43;219.89;197.9;0;0
19058;DIAMONT TRUCK COM ESCAVADEIRA;7896965213271;1327;80;72;0;170
19060;DIAMONT TRUCK COM CARREGADEIRA;7896965213226;1322;80;72;0;170
19061;GARRA HIDRAULICA;7896965217057;1705;105;94.5;0;170
19062;CEGONHEIRA ROMA DIESEL RX;7896965213080;1308;195;175.5;0;170
19063;CEGONHEIRA NEXT RACE;7896965219525;1952;165;148.5;0;0
19064;COLUMBUS BETONEIRA;7896965204507;450;240;216;0;170
19065;IMAGINEXT MINI AVIOES;746775104757;X1555;60.94;54.85;0;0
19071;PAPAI NOEL GIGANTE EM PE;;269;537.9;484.11;0;0
19069;SORVETE APRENDER E BRINCAR;746775120733;X3066;85.25;76.73;0;0
19075;INKOOS BRILHA NO ESCURO;7898486479174;2868;207.9;187.11;0;0
19070;BARBIE FASHIONISTA COM BICHINHO;746775112622;X2278;97.79;88.01;0;0
19076;TRASH PACK CAMINHÃO BRILHA NO ESCURO;7898486480736;2879;114.4;102.96;0;0
19078;PULA COELHO;7898486484321;3379;89.1;80.19;0;0
19080;TRASH PACK CARTELA COM 12;7898486479297;2880;46.09;41.48;0;0
19081;SPLAT ALIEN;7898486481627;3110;7.59;6.83;0;0
19085;LEGO TECHNIC 8 A 14  ANOS;5702014973039;42004;153.45;138.11;0;0
19092;TURBO TWIST;7898486479365;2887;85;76.5;0;5957
19086;LEGO FRIEDS 6 A 12 ANOS CONFEITARIA;673419189507;41006;218.9;197.01;0;0
19087;LEGO SPIDER MAN 6 A 12 ANOS;5702014972698;76004;149.49;134.54;0;0
19088;LEGO SUPER HEROIS;5702014842335;6862;188.1;169.29;0;0
19089;LEGO ROBO 7 A 12 ANOS;5702014972001;31007;123.2;110.88;0;0
19091;LEGO 4X4 E BARCO DE MERGULHADORES;5702014974128;12;86.9;78.21;0;0
19111;CONJUNTO POTES DE VIDRO COM TAMPA 5 PÇS;7897753693008;VDR3008;37.78;34;0;5213
19112;BALDE CHAMPAGNE 4.5 L;7897753695095;BAR5095;120;108;0;5213
19130;RELOGIO DE PAREDE MARFIM;;DS 05;75;67.5;0;5137
19109;CANECA CORAÇÃO PERFEITOS;;15649;30;27;0;0
19114;CRANIUM;5010994589998;20937;108.9;98.01;0;0
19131;RELOGIO DE PAREDE PROIBIDO BEBER;5248197131687;DS 06;55;49.5;0;5137
19115;BABY ALIVE;;209847;354.53;319.08;0;0
19132;AQUAPLAY PRINCESAS;7896027545944;;72.49;65.24;0;0
19119;BABY ALIVE ESTOU COM FEBRE;5010994745585;A3978;293.7;264.33;0;0
19133;KIT 2 CANECAS CASA AVOS PARAISO NETOS;;6288;70.78;63.7;0;13952
19121;MASCARA;5010994730888;A1514;64.9;58.41;0;0
19123;WAR BATALHAS MITOLOGICAS;7891219027352;2735;178.78;160.9;0;16
19124;KIT DE MAGICAS 30 TRUQUES;7891219025259;2535;62.48;56.23;0;0
19127;QUEBRA CABEÇA 2000 PÇS ROMERO BRITO;7908010128697;2869;140;126;0;10916
19148;PORTA MANTIMENTOS INOX 5 PÇS;7897753695231;IN5231;220;198;0;5213
19142;CHINELO PRETO BORDADO MAE CORACOES;;7016;75;67.5;0;4957
19170;JOGO DE JANTAR 30 PÇS VERSA DECORAÇÃO QUADRADOS PRETOS;;5049;423.5;381.15;0;0
19175;SMART TABLE;7898179821693;812;200;180;0;13287
19159;ORQUIDEA PHALAENOPSIS COM VASO PRETO 37 CM;7893979337320;25381;31.9;28.71;0;0
19160;ORQUIDEA CYMBIDIUM VERMELHO COM VASO PRETO 62 CM;7893979337306;25380-002;86.9;78.21;0;0
19178;TAPETE DE ATIVIDADES;7899525200582;20058;189.2;170.28;0;0
19184;PLAY WATER MENINO;7896964618893;1889;49.5;44.55;0;0
19162;ORQUIDEA DANÇANTE  CREME OUTONO 94 CM;7893979238863;16085-002;43.78;39.4;0;0
19179;FORTE APACHE ACAMPAMENTO 9 PCS;;79;155;139.5;0;0
19163;CAPIM VERDE 53 CM;7893979857903;;6.59;5.93;0;0
19164;ORQUIDEA BRANCA COM VASO PORCELANA  57 CM;7893979280732;18536-001;108.9;98.01;0;0
19165;BOLA DE GRAMA 30 CM;7893979293459;19805-001;93.5;84.15;0;0
19185;MISSY KISSY;7896964618923;1892;64.9;58.41;0;0
19166;AMARILIS VERMELHO 68 CM;7893979497932;02685-003;33;29.7;0;0
19167;VASO JARRA DE METAL CORUJA 33 CM;7893979353658;25980-003;62.15;55.94;0;0
19189;CHIQUITITAS;7896964619722;1972;43.99;39.59;0;0
19191;ARVORE FLOR DE LUZ ALTA 110V;7898458051056;;479;431.1;0;5048
19193;SE VIRA ELETRONICO;7896027542691;;93.5;84.15;0;0
19194;GENIUS;7896027543353;;244;219.6;0;14195
19196;O QUE É SER DIFERENTE?;7896027544770;;65.99;59.39;0;655
19198;CUPCAKE SURPRESA;7896027542455;;34.1;30.69;0;0
19200;IMPROVISO TOTAL;7896200711487;1148;52.8;47.52;0;0
19203;ROLETRANDO;7896200716208;1620;60;54;0;0
19205;STOP;;162;40;36;0;823
19213;TAÇA GALLANT 180 ML CHAMPAGNE;7891155006060;7808030;10;9;0;218
19207;BATALHA NAVAL NIG;7896200711210;1121;66.67;60;0;0
19208;EU BRINCO DE CASINHACAFE  COM BOLINHO;7896200706025;602;46.2;41.58;0;0
19209;EU BRINCO DE CASINHA ARROZ E FEIJÃO;7896200706018;601;55;49.5;0;823
19210;BANCO.COM.NET;7896200711227;1122;47.33;42.59;0;823
19211;PALAVRAS CRUZADAS;7896200711098;1109;40;36;1;0
19217;COPO MUNICH 200 ML;7891155003731;12907;5.17;4.65;0;0
19222;POLLY PASSEIO CAVALO;746775160166;X7175;99.8;89.82;0;4320
19227;MARACAS;7896448174501;745;46.5;41.85;0;159
19228;BONGO;7896448174600;746;49.9;44.91;0;159
19229;VAI E VEM;7896448149400;494;39.49;35.54;0;159
19224;OBSERVATORIO DO BATMAN;746775131364;X4154;252.45;227.21;0;0
19230;ZUQUINHA ESCORREGA BOLINHAS;7896448178004;780;113.3;101.97;0;159
19231;CASTELO DE ATIVIDADES BACKYARDIGANS;7896448184302;843;94.49;85.04;0;0
19232;MINIE CONTA HISTORIAS;7896448185606;856;127.78;115;1;159
19237;DINHEIRO VIVO;7896448183206;832;35.97;32.37;0;0
19240;PANELA 14 CM MARRON 1600  ML;7894002182597;;132;118.8;0;4959
19242;TAÇA AMARELO OLIVA FOSCO G;7897900835213;3521;100;90;0;0
19246;GALINHA PINTADINHA BATE ASAS E CANTA;7891219027673;2767;186.89;168.2;0;0
19241;CAÇAROLA VERMELHO 20 CM EM CERAMICA;7894002183334;;199.9;179.91;0;4959
19247;RISQUE E RABISQUE CARROSEL;7891219029813;;49.39;44.45;0;0
19252;MOBILE DOCE MELODIA;7898179821501;905;125.4;112.86;0;38
19250;MADEIRINHA ALEGRIA 11X18.5;;P10774;41.25;37.13;0;8587
19254;PORTA RETRATO EM CASO DE SAUDADE QUEBRE O VIDRO;7898458049336;;49.5;44.55;0;0
19253;MISS GLAMOUR;7898179820320;320;333;299.7;0;13287
19255;PORTA RETRATO COMO NAO AMAR?;7898458097276;;35.2;31.68;0;0
19262;CONJUNTO DE COPOS QUAL É A SUA SEDE?;7898458060287;;31.9;28.71;0;0
19256;PORTA RETRATO AMIZADE É;7898458058352;;35.75;32.18;0;0
19525;FAQUEIRO CX MASTER 240 PÇS;;66906/247;821;738.9;0;87
19257;PORTA RETRATO NÓS NA KOMBI;7898458063905;;75.9;68.31;0;0
19263;CONJUNTO DE TULIPAS A MEDIDA DA AMIZADE;7898458073645;;45.1;40.59;0;0
19258;PORTA RETRATO CAMARIM;7898458065169;;29.59;26.63;0;0
19259;PORTA RETRATO CAMERA RETRO;7898458073522;;70.4;63.36;0;0
19264;PORTA RETRATO VERTICAL PRO HORIZONTAL;7898458073188;;47.08;42.37;0;0
19260;CANECO TORCEDOR FIEL;7898458071061;;40.04;36.04;0;0
19265;PORTA CHAVES CORREIO;7898458073959;;76.45;68.81;0;0
19261;CANECA TERMOSSENSIVEL AMIZADE;7898458098204;;48.95;44.06;0;0
19266;NECESSAIRE CARTA;7898458062816;;30;27;0;0
